"group","axis","value"
"""Cats"" 1981 Original London Cast","danceability",0.44275
"""Cats"" 1981 Original London Cast","energy",0.386335833
"""Cats"" 1981 Original London Cast","liveness",0.287708333
"""Cats"" 1981 Original London Cast","tempo",115.9835
"""Cats"" 1983 Broadway Cast","danceability",0.441730769
"""Cats"" 1983 Broadway Cast","energy",0.406807692
"""Cats"" 1983 Broadway Cast","liveness",0.315215385
"""Cats"" 1983 Broadway Cast","tempo",103.0441538
"""Fiddler On The Roof” Motion Picture Chorus","danceability",0.348285714
"""Fiddler On The Roof” Motion Picture Chorus","energy",0.286571429
"""Fiddler On The Roof” Motion Picture Chorus","liveness",0.325785714
"""Fiddler On The Roof” Motion Picture Chorus","tempo",77.37585714
"""Fiddler On The Roof” Motion Picture Orchestra","danceability",0.425074074
"""Fiddler On The Roof” Motion Picture Orchestra","energy",0.24577037
"""Fiddler On The Roof” Motion Picture Orchestra","liveness",0.275481481
"""Fiddler On The Roof” Motion Picture Orchestra","tempo",88.66762963
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","danceability",0.437333333
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","energy",0.429333333
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","liveness",0.216111111
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","tempo",120.3296667
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast","danceability",0.487277778
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast","energy",0.309905556
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast","liveness",0.274766667
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast","tempo",118.6489444
"""Mama"" Helen Teagarden","danceability",0.637
"""Mama"" Helen Teagarden","energy",0.512
"""Mama"" Helen Teagarden","liveness",0.426
"""Mama"" Helen Teagarden","tempo",134.819
"""Mista Dj Paul","danceability",0.849
"""Mista Dj Paul","energy",0.487
"""Mista Dj Paul","liveness",0.146
"""Mista Dj Paul","tempo",170.981
"""Test for Victor Young""","danceability",0.734
"""Test for Victor Young""","energy",0.474
"""Test for Victor Young""","liveness",0.737
"""Test for Victor Young""","tempo",132.788
"""Weird Al"" Yankovic","danceability",0.664787879
"""Weird Al"" Yankovic","energy",0.685136364
"""Weird Al"" Yankovic","liveness",0.162139394
"""Weird Al"" Yankovic","tempo",132.4950909
"$IMEON","danceability",0.806666667
"$IMEON","energy",0.469
"$IMEON","liveness",0.204333333
"$IMEON","tempo",106.02
"$NOT","danceability",0.750125
"$NOT","energy",0.51975
"$NOT","liveness",0.213975
"$NOT","tempo",114.229125
"$pyda","danceability",0.514
"$pyda","energy",0.899
"$pyda","liveness",0.367
"$pyda","tempo",174.028
"$uicideBoy$","danceability",0.765245902
"$uicideBoy$","energy",0.641704918
"$uicideBoy$","liveness",0.201195082
"$uicideBoy$","tempo",119.8043607
"'Be More Chill' Ensemble","danceability",0.497
"'Be More Chill' Ensemble","energy",0.474
"'Be More Chill' Ensemble","liveness",0.453
"'Be More Chill' Ensemble","tempo",133.934
"'In The Heights' Original Broadway Company","danceability",0.541
"'In The Heights' Original Broadway Company","energy",0.402282353
"'In The Heights' Original Broadway Company","liveness",0.193823529
"'In The Heights' Original Broadway Company","tempo",114.9525294
"'Legally Blonde' Ensemble","danceability",0.613583333
"'Legally Blonde' Ensemble","energy",0.4115
"'Legally Blonde' Ensemble","liveness",0.215666667
"'Legally Blonde' Ensemble","tempo",115.58
"'Legally Blonde' Greek Chorus","danceability",0.7735
"'Legally Blonde' Greek Chorus","energy",0.3095
"'Legally Blonde' Greek Chorus","liveness",0.2222
"'Legally Blonde' Greek Chorus","tempo",105.7
"'Little Women' Original Broadway Cast","danceability",0.345
"'Little Women' Original Broadway Cast","energy",0.325
"'Little Women' Original Broadway Cast","liveness",0.0721
"'Little Women' Original Broadway Cast","tempo",90.03
"'Til Tuesday","danceability",0.557125
"'Til Tuesday","energy",0.61225
"'Til Tuesday","liveness",0.1275875
"'Til Tuesday","tempo",103.08025
"((( O )))","danceability",0.41
"((( O )))","energy",0.169
"((( O )))","liveness",0.117
"((( O )))","tempo",89.494
"(Con La Participación De Eros Ramazzotti)","danceability",0.722
"(Con La Participación De Eros Ramazzotti)","energy",0.628
"(Con La Participación De Eros Ramazzotti)","liveness",0.125
"(Con La Participación De Eros Ramazzotti)","tempo",143.922
"(Con La Participación de Marc Anthony)","danceability",0.731
"(Con La Participación de Marc Anthony)","energy",0.794
"(Con La Participación de Marc Anthony)","liveness",0.0736
"(Con La Participación de Marc Anthony)","tempo",88.003
"(G)I-DLE","danceability",0.718
"(G)I-DLE","energy",0.764333333
"(G)I-DLE","liveness",0.163333333
"(G)I-DLE","tempo",129.992
"(Hed) P.E.","danceability",0.5892
"(Hed) P.E.","energy",0.8792
"(Hed) P.E.","liveness",0.17112
"(Hed) P.E.","tempo",134.9694
"*NSYNC","danceability",0.642051282
"*NSYNC","energy",0.719320513
"*NSYNC","liveness",0.217423077
"*NSYNC","tempo",114.6852179
"44","danceability",0.4515
"44","energy",0.88325
"44","liveness",0.1507
"44","tempo",168.37125
"-","danceability",0.446
"-","energy",0.546
"-","liveness",0.193
"-","tempo",125.961
"...And You Will Know Us by the Trail of Dead","danceability",0.255
"...And You Will Know Us by the Trail of Dead","energy",0.858
"...And You Will Know Us by the Trail of Dead","liveness",0.513
"...And You Will Know Us by the Trail of Dead","tempo",144.653
"...Bender","danceability",0.542
"...Bender","energy",0.894
"...Bender","liveness",0.116
"...Bender","tempo",119.128
"03 Greedo","danceability",0.7246
"03 Greedo","energy",0.6938
"03 Greedo","liveness",0.16506
"03 Greedo","tempo",93.9078
"070 Shake","danceability",0.68
"070 Shake","energy",0.637
"070 Shake","liveness",0.124266667
"070 Shake","tempo",112.6786667
"10 Ft. Ganja Plant","danceability",0.7875
"10 Ft. Ganja Plant","energy",0.7725
"10 Ft. Ganja Plant","liveness",0.07735
"10 Ft. Ganja Plant","tempo",142.973
"10 Years","danceability",0.39925
"10 Years","energy",0.751625
"10 Years","liveness",0.1507375
"10 Years","tempo",147.9155
"10,000 Maniacs","danceability",0.581454545
"10,000 Maniacs","energy",0.560390909
"10,000 Maniacs","liveness",0.253490909
"10,000 Maniacs","tempo",118.9730909
"100 gecs","danceability",0.6695
"100 gecs","energy",0.566
"100 gecs","liveness",0.377
"100 gecs","tempo",91.691
"101 Strings Orchestra","danceability",0.254866667
"101 Strings Orchestra","energy",0.373333333
"101 Strings Orchestra","liveness",0.172666667
"101 Strings Orchestra","tempo",96.92416667
"1017 Eskimo","danceability",0.896
"1017 Eskimo","energy",0.615
"1017 Eskimo","liveness",0.122
"1017 Eskimo","tempo",140.04
"10cc","danceability",0.550952381
"10cc","energy",0.547047619
"10cc","liveness",0.14787619
"10cc","tempo",118.9217143
"5-Nov","danceability",0.929
"5-Nov","energy",0.661
"5-Nov","liveness",0.0879
"5-Nov","tempo",114.973
"112","danceability",0.666072727
"112","energy",0.520436364
"112","liveness",0.143212727
"112","tempo",116.8437636
"11:11","danceability",0.478
"11:11","energy",0.555
"11:11","liveness",0.103
"11:11","tempo",128.728
"12 Pianists","danceability",0.414
"12 Pianists","energy",0.0187
"12 Pianists","liveness",0.0513
"12 Pianists","tempo",74.477
"12 Stones","danceability",0.385833333
"12 Stones","energy",0.888833333
"12 Stones","liveness",0.249233333
"12 Stones","tempo",138.6921667
"1422","danceability",0.466333333
"1422","energy",0.874666667
"1422","liveness",0.391
"1422","tempo",98.25366667
"1776 Ensemble","danceability",0.5895
"1776 Ensemble","energy",0.4025
"1776 Ensemble","liveness",0.4725
"1776 Ensemble","tempo",97.4035
"1776 Orchestra","danceability",0.739
"1776 Orchestra","energy",0.518
"1776 Orchestra","liveness",0.0917
"1776 Orchestra","tempo",120.939
"1788-L","danceability",0.522
"1788-L","energy",0.539
"1788-L","liveness",0.0664
"1788-L","tempo",95.97
"18 Carat Affair","danceability",0.599
"18 Carat Affair","energy",0.852
"18 Carat Affair","liveness",0.119
