"group","axis","value"
1921,"danceability",0.425660938
1921,"energy",0.236783594
1921,"liveness",0.215814063
1921,"tempo",100.3977578
1922,"danceability",0.48
1922,"energy",0.23702625
1922,"liveness",0.238647222
1922,"tempo",101.3761389
1923,"danceability",0.568461538
1923,"energy",0.246936095
1923,"liveness",0.236655621
1923,"tempo",112.4565976
1924,"danceability",0.548654008
1924,"energy",0.347032911
1924,"liveness",0.237874684
1924,"tempo",120.6533586
1925,"danceability",0.571889734
1925,"energy",0.264372624
1925,"liveness",0.243093536
1925,"tempo",115.6717148
1926,"danceability",0.558295195
1926,"energy",0.239194931
1926,"liveness",0.234052517
1926,"tempo",108.4965732
1927,"danceability",0.649959732
1927,"energy",0.256158725
1927,"liveness",0.167778523
1927,"tempo",114.6114648
1928,"danceability",0.529695689
1928,"energy",0.207142747
1928,"liveness",0.177988335
1928,"tempo",106.195246
1929,"danceability",0.647005087
1929,"energy",0.24051342
1929,"liveness",0.235988312
1929,"tempo",111.3539881
1930,"danceability",0.510382249
1930,"energy",0.327300193
1930,"liveness",0.217320397
1930,"tempo",110.2143556
1931,"danceability",0.556093523
1931,"energy",0.25843397
1931,"liveness",0.239117852
1931,"tempo",108.0102812
1932,"danceability",0.560050939
1932,"energy",0.305478497
1932,"liveness",0.236319833
1932,"tempo",116.225833
1933,"danceability",0.603766399
1933,"energy",0.287360611
1933,"liveness",0.210155466
1933,"tempo",115.0536817
1934,"danceability",0.529833935
1934,"energy",0.259990614
1934,"liveness",0.216328159
1934,"tempo",115.988287
1935,"danceability",0.553363892
1935,"energy",0.244698444
1935,"liveness",0.228123175
1935,"tempo",110.6644155
1936,"danceability",0.532999905
1936,"energy",0.306197884
1936,"liveness",0.225570209
1936,"tempo",109.9816414
1937,"danceability",0.556888087
1937,"energy",0.286996191
1937,"liveness",0.21799094
1937,"tempo",114.5911695
1938,"danceability",0.486981771
1938,"energy",0.283627083
1938,"liveness",0.234537847
1938,"tempo",112.1711233
1939,"danceability",0.513091892
1939,"energy",0.295648348
1939,"liveness",0.234701101
1939,"tempo",113.99699
1940,"danceability",0.52163935
1940,"energy",0.309803345
1940,"liveness",0.2643472
1940,"tempo",108.3076335
1941,"danceability",0.480442133
1941,"energy",0.261471915
1941,"liveness",0.200939648
1941,"tempo",107.395087
1942,"danceability",0.465813948
1942,"energy",0.257303499
1942,"liveness",0.213301516
1942,"tempo",106.1970297
1943,"danceability",0.467497003
