"artists","danceability","energy","liveness","tempo","loudness","acousticness","speechiness"
"""Cats"" 1981 Original London Cast",0.47,0.39,0.29,0.54,0.74,0.59,0.22
"""Cats"" 1983 Broadway Cast",0.44,0.41,0.32,0.47,0.8,0.86,0.18
"""Fiddler On The Roof” Motion Picture Chorus",0.35,0.29,0.33,0.36,0.73,0.86,0.12
"""Fiddler On The Roof” Motion Picture Orchestra",0.43,0.25,0.28,0.41,0.72,0.88,0.13
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.47,0.49,0.2,0.56,0.81,0.51,0.1
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.49,0.31,0.27,0.54,0.68,0.61,0.1
"""Mama"" Helen Teagarden",0.64,0.51,0.43,0.62,0.64,0.72,0.22
"""Test for Victor Young""",0.73,0.47,0.74,0.61,0.81,0.93,0.27
"""Weird Al"" Yankovic",0.66,0.7,0.16,0.61,0.82,0.17,0.09
"$NOT",0.79,0.53,0.18,0.52,0.83,0.54,0.3
"$atori Zoom",0.88,0.62,0.08,0.58,0.91,0.24,0.25
"$pyda",0.51,0.9,0.37,0.8,0.89,0,0.06
"$tupid Young",0.85,0.68,0.19,0.46,0.86,0.15,0.23
"$uicideBoy$",0.75,0.64,0.2,0.53,0.87,0.14,0.16
"'In The Heights' Original Broadway Company",0.56,0.46,0.2,0.54,0.84,0.62,0.16
"'Legally Blonde' Ensemble",0.65,0.44,0.21,0.53,0.79,0.55,0.51
"'Legally Blonde' Greek Chorus",0.77,0.31,0.22,0.49,0.77,0.6,0.3
"'Til Tuesday",0.56,0.61,0.13,0.47,0.82,0.11,0.03
"((( O )))",0.41,0.17,0.12,0.41,0.79,0.85,0.05
"(Con La Participación de Marc Anthony)",0.73,0.79,0.07,0.4,0.91,0.54,0.04
"(G)I-DLE",0.64,0.8,0.25,0.69,0.91,0.01,0.05
"(Hed) P.E.",0.59,0.88,0.17,0.62,0.89,0.01,0.18
