"group","axis","value"
"432hz","danceability",0.299333333
"432hz","energy",0.450678333
"432hz","liveness",0.131
"432hz","tempo",120.2856667
"[]","danceability",0.521473305
"[]","energy",0.401522143
"[]","liveness",0.221586215
"[]","tempo",112.0251678
"a cappella","danceability",0.577016906
"a cappella","energy",0.345694086
"a cappella","liveness",0.127086818
"a cappella","tempo",111.8132302
"abstract","danceability",0.4595
"abstract","energy",0.487
"abstract","liveness",0.11948
"abstract","tempo",124.7432
"abstract beats","danceability",0.6944
"abstract beats","energy",0.6134
"abstract beats","liveness",0.102453333
"abstract beats","tempo",119.3984
"abstract hip hop","danceability",0.723131579
"abstract hip hop","energy",0.645460819
"abstract hip hop","liveness",0.168031754
"abstract hip hop","tempo",112.1602865
"accordeon","danceability",0.626333333
"accordeon","energy",0.309
"accordeon","liveness",0.252666667
"accordeon","tempo",114.522
"accordion","danceability",0.640833333
"accordion","energy",0.364
"accordion","liveness",0.186975
"accordion","tempo",112.7221667
"acid house","danceability",0.684227778
"acid house","energy",0.721418889
"acid house","liveness",0.232381111
"acid house","tempo",123.1759333
"acid jazz","danceability",0.7142
"acid jazz","energy",0.694666667
"acid jazz","liveness",0.1068
"acid jazz","tempo",112.2434
"acid rock","danceability",0.453541141
"acid rock","energy",0.592055437
"acid rock","liveness",0.235853765
"acid rock","tempo",125.4659373
"acid trance","danceability",0.557
"acid trance","energy",0.925
"acid trance","liveness",0.152
"acid trance","tempo",134.8435
"acousmatic","danceability",0.414258917
"acousmatic","energy",0.250570367
"acousmatic","liveness",0.256992042
"acousmatic","tempo",105.5481344
"acoustic blues","danceability",0.600931694
"acoustic blues","energy",0.358590687
"acoustic blues","liveness",0.186153006
"acoustic blues","tempo",114.1003973
"acoustic pop","danceability",0.52782081
"acoustic pop","energy",0.482990348
"acoustic pop","liveness",0.153360585
"acoustic pop","tempo",117.5559651
"acoustic punk","danceability",0.527967143
"acoustic punk","energy",0.614435714
"acoustic punk","liveness",0.180224429
"acoustic punk","tempo",120.9605543
"adoracion","danceability",0.496944444
"adoracion","energy",0.519083333
"adoracion","liveness",0.31025
